id,license_id,account_number,site_number,legal_name,doing_business_as_name,address,city,state,zip_code,ward,precinct,ward_precinct,police_district,license_code,license_description,business_activity_id,business_activity,license_number,application_type,application_created_date,application_requirements_complete,payment_date,conditional_approval,license_term_start_date,license_term_expiration_date,license_approved_for_issuance,date_issued,license_status,license_status_change_date,ssa,latitude,longitude,location
1675393-20111216,2122688,86759,4,EL HOGAR DEL NINO,EL HOGAR DEL NINO,1710-1718 S LOOMIS ST,CHICAGO,IL,60608,25,24,25-24,12,1010,Limited Business License,,,1675393,RENEW,,2011-10-14,2011-10-28,N,2011-12-16,2013-12-15,2011-10-28,2011-10-28,AAC,2012-12-29,,41.858420744,-87.661479715,"(41.85842074393547, -87.66147971491169)"
64038-20100416,2018338,20098,1,"CAFE THAI, CORP.",HOT WOKS COOL SUSHI,30 S MICHIGAN AVE 1,CHICAGO,IL,60603,42,9,42-9,1,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,64038,RENEW,,2010-02-11,2010-03-19,N,2010-04-16,2012-04-15,2010-03-19,2010-04-08,AAI,,,41.881371062,-87.624491752,"(41.88137106153754, -87.62449175187143)"
37981-20021116,1281599,15519,2,"BISMARCK ENTERPRISES AT THE UNITED CENTER, INC.",BISMARCK ENTERPRISES/UNITED,1901 W MADISON ST,CHICAGO,IL,60612,27,27,27-27,12,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,37981,RENEW,2002-09-24,2002-10-25,2002-10-23,N,2002-11-16,2003-05-15,2002-10-25,2002-10-28,AAI,,,41.881241457,-87.674282534,"(41.881241456803345, -87.67428253395332)"
1681435-20180916,2612175,300400,2,"MCI COMMUNICATIONS SERVICES, INC.",VERIZON BUSINESS SERVICES,130 E RANDOLPH ST 200,CHICAGO,IL,60601,42,44,42-44,1,1010,Limited Business License,,,1681435,RENEW,,2018-07-15,2018-09-12,N,2018-09-16,2020-09-15,2018-09-12,2018-09-13,AAI,,,41.884588372,-87.623272561,"(41.884588371969095, -87.62327256105529)"
6745-20021116,1284434,25492,1,ALGIMANTAS JOHN PUODZIUS,ANNE'S OFFICE,4400 S WASHTENAW AVE 1ST,CHICAGO,IL,60632,15,25,15-25,9,1470,Tavern,829,Tavern - Consumption of Liquor on Premise,6745,RENEW,2002-09-24,2002-10-17,2002-10-25,N,2002-11-16,2003-05-15,2002-10-25,2002-10-28,AAI,,,41.81368048,-87.692063609,"(41.81368047969558, -87.69206360929044)"
1195035-20040216,1421461,220647,1,MADNI INC,DIVERSEY & RACINE SHELL,1160 W DIVERSEY PKWY,CHICAGO,IL,60614,44,40,44-40,19,1781,Tobacco,763,Retail Sale of Tobacco,1195035,RENEW,,2003-12-15,2004-01-23,N,2004-02-16,2004-05-15,2003-12-22,2004-01-30,AAI,,,41.932674418,-87.658228689,"(41.93267441805559, -87.65822868850925)"
1226159-20040216,1455691,39143,1,LUIS CABRERA,L C ELECTRONICS,2883 N MILWAUKEE AVE 1ST,CHICAGO,IL,60618,35,11,35-11,14,1061,Electronic Equipment Repair,,,1226159,RENEW,,2003-12-15,2004-04-30,N,2004-02-16,2005-02-15,2003-12-22,2004-05-03,AAI,,,41.933787386,-87.714906188,"(41.93378738559366, -87.71490618778701)"
2032290-20121116,2186917,229993,5,"KIMPTON HOTEL & RESTAURANT GROUP, LLC",HOTEL PALOMAR,"505 N STATE ST 1ST, 5TH - 17TH",CHICAGO,IL,60654,42,22,42-22,18,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,2032290,RENEW,,2012-09-14,2012-10-03,N,2012-11-16,2014-09-15,2012-10-03,2012-10-04,AAC,2013-07-10,,41.868690013,-87.747993577,"(41.86869001344536, -87.74799357657382)"
20442-20190416,2648937,81365,54,"SODEXO AMERICA, LLC",SOUNDING,1200 S LAKE SHORE DR,CHICAGO,IL,60605,4,18,4-18,1,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,20442,RENEW,,2019-02-22,2019-03-19,N,2019-04-16,2021-04-15,2019-03-19,2019-03-20,AAI,,,41.867484227,-87.619150383,"(41.867484227164155, -87.61915038338188)"
32187-19991116,149412,32073,1,"JJ'S BAR , INC.",JACKHAMMER,6406 N CLARK ST 1ST,CHICAGO,IL,60626,40,28,40-28,24,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,32187,RENEW,,,,N,1999-11-16,2000-05-15,,2002-03-05,AAC,2014-10-06,,41.998257404,-87.670809306,"(41.998257403757584, -87.67080930600724)"
2294073-20171116,2558874,386238,1,"First National Capital, LLC","First National Capital, LLC",16350 PARK TEN PL 236,HOUSTON,TX,77084,,,,,1010,Limited Business License,793,Sales / Rental / Lease of Motorized Vehicles,2294073,RENEW,,2017-09-15,2017-09-28,N,2017-11-16,2019-11-15,2017-09-28,2017-09-29,AAI,,,,,
1822260-20110516,2086649,289474,1,"PRAIRIE MARKETING, INC.","PRAIRIE MARKETING, INC.",125 S JEFFERSON ST 10 1007,CHICAGO,IL,60661,42,12,42-12,1,1010,Limited Business License,,,1822260,RENEW,,2011-03-15,2011-05-10,N,2011-05-16,2013-05-15,2011-05-10,2011-05-11,AAI,,,41.879762888,-87.642446456,"(41.879762888454, -87.6424464563556)"
1515270-20051116,1641709,279495,1,D & K FOOD INC,D & K FOOD INC,4203 W DIVISION ST,CHICAGO,IL,60651,37,8,37-8,11,1781,Tobacco,763,Retail Sale of Tobacco,1515270,RENEW,,2005-09-22,2005-11-09,N,2005-11-16,2006-11-15,2005-11-09,2005-11-10,AAI,,,41.902478001,-87.731421105,"(41.90247800103126, -87.731421105285)"
1336984-20030409,1336984,253791,2,"AUTO MD, LLC",CAR- X AUTO SERVICE,2511 N ASHLAND AVE,CHICAGO,IL,60614,32,20,32-20,19,1571,"Tire Facilty Class I (100 - 1,000 Tires)",,,1336984,ISSUE,2003-03-14,2003-04-02,2003-04-02,N,2003-04-09,2004-02-15,2003-04-08,2003-04-09,AAI,,,41.927338542,-87.668075805,"(41.92733854246038, -87.66807580473004)"
43296-20040216,1454914,35053,1,PEGGY O/MICHAEL M GRUHN,CAMEO BEAUTY SALON,4479 N ELSTON AVE 1ST,CHICAGO,IL,60630,39,46,39-46,17,1010,Limited Business License,,,43296,RENEW,,2003-12-15,2004-02-09,N,2004-02-16,2005-02-15,2003-12-22,2004-02-10,AAI,,,41.962495396,-87.731753887,"(41.962495395623115, -87.73175388657458)"
2206825-20141216,2361385,292177,1,ANDRE L. WEST,DREAMQUESTONE.COM,7544 S OGLESBY AVE,CHICAGO,IL,60649,7,34,7-34,4,4404,Regulated Business License,724,Other Home Based Businesses,2206825,RENEW,,2014-10-15,2014-12-14,N,2014-12-16,2016-12-15,2014-12-14,2014-12-15,AAI,,49,41.757641594,-87.567713146,"(41.75764159366388, -87.56771314560962)"
1305343-20110716,2094740,5466,2,"BIG CHICKS, INC.",TWEET,5020 N SHERIDAN RD,CHICAGO,IL,60640,48,40,48-40,20,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1305343,RENEW,,2011-05-16,2011-07-05,N,2011-07-16,2013-07-15,2011-07-05,2011-07-06,AAI,,34,41.973950993,-87.655091689,"(41.97395099252853, -87.65509168924237)"
30165-20050216,1550293,7510,1,MARK VEND COMPANY,MARK VEND COMPANY,3000 MACARTHUR BLVD,NORTHBROOK,IL,60062,,,,,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,30165,RENEW,,2004-12-20,2005-02-14,N,2005-02-16,2006-02-15,2005-02-14,2005-02-15,AAI,,,,,
1479605-20050216,1567497,261013,3,DESIGNS C MAL STORE INC,CASUAL MALE BIG & TALL,1730 W FULLERTON AVE,CHICAGO,IL,60614,32,20,32-20,19,1010,Limited Business License,,,1479605,RENEW,,2004-12-20,2005-03-21,N,2005-02-16,2006-02-15,2005-03-23,2005-06-16,AAI,,,41.925212328,-87.671925425,"(41.92521232759425, -87.67192542513618)"
2496123-20170504,2496123,7049,74,"DOLLAR TREE STORES, INC.",DOLLAR TREE #07068,715 E 47TH ST 1ST,CHICAGO,IL,60653,4,12,4-12,2,1006,Retail Food Establishment,904 | 775,Retail Sales of General Merchandise | Retail Sales of Perishable Foods,2496123,ISSUE,2016-10-26,2017-04-24,2017-04-27,N,2017-05-04,2019-06-15,2017-05-04,2017-05-04,AAI,,47,41.809398894,-87.608301674,"(41.80939889353178, -87.60830167397286)"
257-20070516,1804643,41,1,"GEJA'S INTERNATIONAL FOODS, INC.",GEJA'S CAFE,340-344 W ARMITAGE AVE LOWER LEVEL,CHICAGO,IL,60614,43,17,43-17,18,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,257,RENEW,,2007-03-23,2007-05-10,N,2007-05-16,2009-04-15,2007-05-10,2007-05-11,AAI,,,41.918445336,-87.638007427,"(41.918445336371185, -87.63800742700411)"
1694555-20061116,1751213,46618,2,"PEDIA LEARNING CENTER, INCORPORATED",LUV N CARE,5776-78 N LINCOLN AVE,CHICAGO,IL,60659,40,31,40-31,20,1584,Day Care Center 2 - 6 Years,,,1694555,RENEW,,2006-09-20,2007-01-04,N,2006-11-16,2007-11-15,2007-01-04,2007-01-04,AAI,,,41.986390001,-87.700894094,"(41.98639000133417, -87.70089409380749)"
1330964-20031116,1438965,250354,2,JB SMOOTHIES INC.,FRESH CHIOCE,233 N MICHIGAN AVE F,CHICAGO,IL,60601,42,44,42-44,1,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1330964,RENEW,,2003-09-26,2003-10-30,N,2003-11-16,2004-11-15,2003-11-04,2003-11-25,AAI,,,41.886567371,-87.624384671,"(41.886567370886944, -87.62438467059714)"
1478624-20080116,1875757,5752,9,"TRT TRANSPORTATION, INC.",CHICAGO TROLLEY CO,600 E GRAND AVE,CHICAGO,IL,60611,42,11,42-11,18,1133,Broker,,,1478624,RENEW,,2007-11-26,2008-02-13,N,2008-01-16,2010-01-15,2008-02-13,2008-02-14,AAI,,,41.892094137,-87.611569884,"(41.892094136861786, -87.61156988394656)"
39254-20020216,1205975,33892,1,LESLIE HEATING & COOLING INC,C D LESLIE & SONS,2754 JONQUIL LN 1,WOODRIDGE,IL,60517,,,,,1011,Home Repair,,,39254,RENEW,,2001-12-20,2002-02-21,N,2002-02-16,2003-02-15,2003-02-13,2003-02-13,AAI,,,,,
2535027-20170612,2535027,417003,1,CHECKER TAXI ASSOCIATION CO,CHECKER TAXI ASSOCIATION CO,3800 N MILWAUKEE AVE A,CHICAGO,IL,60641,45,6,45-6,17,1070,Affiliation,606,Taxi Affiliation,2535027,ISSUE,2017-05-18,2017-05-31,2016-11-21,N,2017-06-12,2017-11-30,2017-06-12,2017-06-12,AAI,,,41.949989579,-87.741947527,"(41.94998957872941, -87.74194752675226)"
1248599-20060216,1741353,248426,1,MUEBLERIA-DOMINGUEZ INC.,MUEBLERIA-DOMINGUEZ INC,5319 W FULLERTON AVE,CHICAGO,IL,60639,36,1,36-1,25,1010,Limited Business License,,,1248599,RENEW,,2006-08-15,2006-08-15,N,2006-02-16,2007-02-15,2006-08-15,2006-08-16,AAI,,,41.92395574,-87.759376998,"(41.92395574033769, -87.75937699849459)"
1884683-20080808,1884683,326251,3,"55 E. ONTARIO STREET, LLC",JAMES KITCHEN + BAR,616 N RUSH ST 1,CHICAGO,IL,60611,42,22,42-22,18,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1884683,ISSUE,2008-01-11,2008-06-03,2008-04-22,N,2008-08-08,2009-03-15,2008-08-08,2008-08-08,AAI,,,41.893130811,-87.625559064,"(41.89313081087328, -87.62555906428202)"
1646828-20051202,1646828,290053,2,"SEFRIOUI, INC.",WHITE HEN PANTRY #0-0201-3,628 W FULTON ST,CHICAGO,IL,60661,42,18,42-18,12,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1646828,ISSUE,2005-10-21,2005-10-21,2005-10-21,N,2005-12-02,2006-05-15,2005-12-01,2005-12-02,AAI,,,41.88691478,-87.644115379,"(41.88691478028325, -87.64411537892771)"
28703-20061116,1749223,31136,1,EDWARD CALAHAN,CALAHAN FUNERAL HOME,7030 S HALSTED ST 1,CHICAGO,IL,60621,6,15,6-15,7,1010,Limited Business License,,,28703,RENEW,,2006-09-20,2006-10-17,N,2006-11-16,2007-11-15,2006-10-17,2006-10-18,AAI,,,41.766078626,-87.644582672,"(41.766078625688515, -87.64458267225697)"
2501255-20170105,2501255,411669,4,"WARRANTY LOGISTICS, LLC","WARRANTY LOGISTICS, LLC",1025 W SUNNYSIDE AVE 1B,CHICAGO,IL,60640,46,,46-,,1010,Limited Business License,652,Electronic Equipment Repair,2501255,ISSUE,2016-12-01,2016-12-01,2017-01-04,N,2017-01-05,2018-12-15,2017-01-04,2017-01-05,AAC,2017-04-13,34,41.963480834,-87.655815918,"(41.96348083390276, -87.65581591802439)"
1225333-20120416,2139977,243073,1,"JOSE DRAPERY & WINDOW COVERING, INC.",JOSE DRAPERY & WINDOW COVERING,1736 SETON RD,NORTHBROOK,IL,60062,,,,,1010,Limited Business License,,,1225333,RENEW,,2012-02-17,2012-04-05,N,2012-04-16,2014-04-15,2012-04-05,2012-04-06,AAI,,,,,
77947-20050216,1553068,22957,2,PARADISE AIR INC,PARADISE AIR INC,903 SHAMBLISS,BUFFALO GROVE,IL,60089,,,,,1010,Limited Business License,,,77947,RENEW,,2004-12-20,2005-01-31,N,2005-02-16,2006-02-15,2005-01-31,2005-02-01,AAI,,,,,
2550855-20171101,2550855,420360,1,"COMMUNITY FOOD MART AND RESTAURANT, INC.",COMMUNITY FOOD MART AND RESTAURANT,600 E 103RD ST,CHICAGO,IL,60628,9,13,9-13,5,1006,Retail Food Establishment,767 | 775,Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Perishable Foods,2550855,ISSUE,2017-08-14,2017-08-28,2017-08-28,N,2017-11-01,2019-09-15,2017-11-01,2017-11-01,AAC,2019-02-07,41,41.707500278,-87.608822661,"(41.707500278012915, -87.60882266133223)"
16237-20130316,2226791,63160,120,SP PLUS CORPORATION,JMB/URBAN,900 N MICHIGAN AVE 1,CHICAGO,IL,60611,42,61,42-61,18,1003,Commercial Garage,725,Provide Parking Spaces For a Fee - Available and Advertised to the Public,16237,RENEW,,2013-01-17,2013-03-06,N,2013-03-16,2015-03-15,2013-03-06,2013-03-13,AAI,,,41.899248597,-87.624274978,"(41.89924859703626, -87.62427497820545)"
2579084-20180905,2579084,424963,1,"MARIO'S WINE & SPIRITS, INC",MARIO'S WINE & SPIRITS,5338-5340 N CUMBERLAND AVE 1,CHICAGO,IL,60656,41,29,41-29,16,1474,Package Goods,774,Retail Sales of Packaged Liquor,2579084,ISSUE,2018-02-07,2018-02-15,2018-02-15,Y,2018-09-05,2020-09-15,2018-09-05,2018-09-05,AAI,,,41.976714383,-87.836761931,"(41.97671438319985, -87.83676193133742)"
34025-20051116,1625799,14801,12,STATE OF ILLINOIS,DEPT OF REHABILITATION SVC/VFP,2650 S CALIFORNIA AVE FACIL,CHICAGO,IL,60608,24,16,24-16,10,1781,Tobacco,763,Retail Sale of Tobacco,34025,RENEW,,2005-09-22,2005-11-14,N,2005-11-16,2006-11-15,2005-11-14,2005-11-29,AAI,,25,41.84299599,-87.695309306,"(41.842995989592936, -87.69530930572087)"
31389-20030216,1308256,14336,1,NADA S NADARAJAH,CLARKPORT PANTRY,3433 N SHEFFIELD AVE,CHICAGO,IL,60657,44,36,44-36,19,1010,Limited Business License,,,31389,RENEW,,2002-12-17,2003-02-18,N,2003-02-16,2004-02-15,2003-02-18,2003-02-20,AAI,,17,41.944515617,-87.654099525,"(41.94451561718378, -87.6540995246525)"
7427-20040816,1496899,3836,2,MOSTAFFA NAFISI & B AZARNOOSH,BELMONT&KOSTNER INC,4357 W BELMONT AVE,CHICAGO,IL,60641,31,33,31-33,25,1010,Limited Business License,,,7427,RENEW,,2004-06-30,2004-08-09,N,2004-08-16,2005-08-15,2004-08-09,2004-08-10,AAI,,,41.938852441,-87.736980572,"(41.93885244077729, -87.73698057195097)"
1227947-20050516,1588644,217101,1,"LA TOURAINE, L.L.C.",SOFITEL CHICAGO WATER TOWER,20 E CHESTNUT ST,CHICAGO,IL,60611,2,32,2-32,18,1010,Limited Business License,,,1227947,RENEW,,2005-03-23,2005-04-20,N,2005-05-16,2006-05-15,2005-04-20,2005-04-21,AAI,,,41.898444637,-87.62740564,"(41.898444636675144, -87.62740563976503)"
1695312-20200216,2705902,299710,16,"HIGHLAND PARK CVS, L.L.C.",CVS/PHARMACY #8739,1819 N HARLEM AVE,CHICAGO,IL,60707,29,55,29-55,25,1474,Package Goods,774,Retail Sales of Packaged Liquor,1695312,RENEW,,2019-12-15,2020-01-03,N,2020-02-16,2022-02-15,2020-01-03,2020-01-03,AAI,,,41.913137273,-87.805762832,"(41.91313727314069, -87.80576283221284)"
1247368-20020816,1270495,247703,1,Garibay Masonry Restoration Company,Garibay Masonry Restoration Company,10335 S AVENUE H,CHICAGO,IL,60617,10,32,10-32,4,1011,Home Repair,,,1247368,RENEW,,2002-06-28,2002-08-16,N,2002-08-16,2003-08-15,2003-01-30,2003-01-30,AAI,,,41.707193016,-87.532723981,"(41.70719301627307, -87.53272398127183)"
1300511-20050216,1558231,51321,3,DENNIS GRECO,GRECO AMUSEMENTS,3201 THORNWOOD,GLENVIEW,IL,60025,,,,,1046,Automatic Amusement Device Operator,,,1300511,RENEW,,2004-12-20,2005-02-03,N,2005-02-16,2006-02-15,2005-02-03,2005-02-04,AAI,,,,,
58240-20170816,2538130,64699,1,"10TH G.F.M., INC.",CONVENIENT FOOD MART,4301 W IRVING PARK RD 1ST,CHICAGO,IL,60641,45,20,45-20,17,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,58240,RENEW,,2017-06-15,2017-07-31,N,2017-08-16,2019-08-15,2017-06-30,2017-07-03,AAI,,,41.953448433,-87.735500362,"(41.95344843338157, -87.73550036198667)"
1648428-20061116,1760691,281279,2,"CHICAGO CONCRETE SOLUTIONS, INC.","CHICAGO CONCRETE SOLUTIONS, INC.",3210 N KILBOURN AVE 3,CHICAGO,IL,60641,30,30,30-30,17,1011,Home Repair,,,1648428,RENEW,,2006-09-20,2006-11-30,N,2006-11-16,2007-11-15,2006-11-30,2006-11-30,AAI,,,41.939290766,-87.73965576,"(41.939290766052586, -87.73965575986395)"
1333420-20101216,2061861,39948,3,MARIBEL SANTILLAN,MARIBEL BEAUTY SALON,3438 W IRVING PARK RD,CHICAGO,IL,60618,35,26,35-26,17,1010,Limited Business License,,,1333420,RENEW,,2010-10-15,2010-12-10,N,2010-12-16,2012-12-15,2010-12-10,2010-12-13,AAI,,,41.953943645,-87.714507584,"(41.95394364467582, -87.71450758353507)"
2308673-20160616,2462540,388011,1,CITY GARDEN HOUSE INC.,BUFFET CITY,7010 S PULASKI RD 1ST,CHICAGO,IL,60629,13,46,13-46,8,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2308673,RENEW,,2016-04-15,2016-04-24,N,2016-06-16,2018-06-15,2016-04-24,2016-04-25,AAI,,3,41.76558422,-87.722582286,"(41.765584219649504, -87.72258228620703)"
1221481-20081216,1935503,222968,1,KYUNGSOOK LEE,SOO DRY CLEANERS,2201 W ADDISON ST,CHICAGO,IL,60618,47,46,47-46,19,1010,Limited Business License,,,1221481,RENEW,,2008-10-15,2008-12-08,N,2008-12-16,2010-12-15,2008-12-08,2008-12-09,AAI,,,41.946689633,-87.683463636,"(41.946689632766216, -87.68346363564099)"
1070334-20011116,1182519,37540,2,I M U USA INC,I M U USA INC,1454 S MICHIGAN AVE 1,CHICAGO,IL,60605,3,40,3-40,1,1010,Limited Business License,,,1070334,RENEW,,2001-10-03,2002-01-07,N,2001-11-16,2002-11-15,2002-01-07,2002-01-08,AAI,,,41.862573237,-87.62418878,"(41.86257323716227, -87.62418877977564)"
69375-20091016,1988124,44684,1,SUPER SHARP TIRES INC,SUPER SHARP TIRE INC,2758 W 59TH ST 1ST,CHICAGO,IL,60629,16,23,16-23,8,1571,"Tire Facilty Class I (100 - 1,000 Tires)",,,69375,RENEW,,2009-08-14,2009-09-21,N,2009-10-16,2011-10-15,2009-09-21,2009-09-22,AAI,,59,41.786518133,-87.693538479,"(41.78651813328063, -87.69353847924444)"
2483216-20160727,2483216,397936,11,JS MARTINEZ CORPORATION,La Barca El Taconazo,1000 W CERMAK RD,CHICAGO,IL,60608,25,23,25-23,12,1329,Special Event Food,942,5 Day Single - Special Event Food,2483216,ISSUE,2016-07-25,2016-07-25,2016-07-27,N,2016-07-27,2016-07-31,2016-07-27,2016-07-27,AAI,,,41.852685383,-87.651492367,"(41.852685383495775, -87.65149236677266)"
58377-20091016,1987525,18661,1,"A.G.H. FOOD AND LIQUOR, INC.",PARKSIDE FOOD AND LIQUOR,3215 W 71ST ST,CHICAGO,IL,60629,17,43,17-43,8,1474,Package Goods,774,Retail Sales of Packaged Liquor,58377,RENEW,,2009-08-14,2009-10-05,N,2009-10-16,2011-10-15,2009-10-05,2009-10-06,AAI,,,41.764268246,-87.703382548,"(41.76426824600088, -87.70338254779882)"
28632-20050216,1560415,63678,1,CAROL CORSTON,TODAY'S HAIR,5637 W LAWRENCE AVE # 1ST,CHICAGO,IL,60630,45,20,45-20,16,1010,Limited Business License,,,28632,RENEW,,2004-12-20,2005-01-14,N,2005-02-16,2006-02-15,2005-01-14,2005-01-18,AAI,,,41.967654836,-87.768920477,"(41.96765483644354, -87.76892047733477)"
1547288-20060216,1671703,285360,2,PAKEEZA RESTAURANT INC.,PAKEEZA RESTAURANT INC,1009-11 N ORLEANS ST 1,CHICAGO,IL,60610,27,28,27-28,18,1781,Tobacco,763,Retail Sale of Tobacco,1547288,RENEW,,2005-12-21,2006-02-14,N,2006-02-16,2007-02-15,2006-02-14,2006-02-15,AAI,,,41.900827711,-87.637188922,"(41.900827710854195, -87.63718892231834)"
1336640-20030313,1336640,219558,2,CELLULAR WORLD INC,CELLULAR WORLD,7601 S CICERO AVE 5530,CHICAGO,IL,60652,18,22,18-22,8,1010,Limited Business License,,,1336640,ISSUE,2003-03-12,2003-03-12,2003-03-12,N,2003-03-13,2003-11-15,2003-03-12,2003-03-13,AAI,,,41.754660124,-87.741384759,"(41.75466012439374, -87.74138475860521)"
1120945-20040216,1455408,37457,2,MMH INC,MMH INC,2704 W PETERSON AVE,CHICAGO,IL,60659,40,29,40-29,24,1010,Limited Business License,,,1120945,RENEW,,2003-12-15,2004-01-12,N,2004-02-16,2005-02-15,2003-12-22,2004-01-13,AAI,,,41.990564736,-87.69719667,"(41.990564736443254, -87.6971966701271)"
1847181-20070904,1847181,270262,2,"BESCO AIR, INC.","BESCO AIR, INC.",5805 W DIVERSEY AVE 1ST,CHICAGO,IL,60639,30,10,30-10,25,1011,Home Repair,,,1847181,ISSUE,2007-09-04,2007-09-04,2007-09-04,N,2007-09-04,2009-03-15,2007-09-04,2007-09-04,AAC,2008-04-22,,41.931094869,-87.771344383,"(41.931094868682656, -87.77134438272313)"
1491497-20040428,1491497,276256,1,RAFAEL OCAMPO,RAFAEL OCAMPO,2242 S HOMAN AVE,CHICAGO,IL,60623,22,22,22-22,10,1604,"Peddler, non-food",,,1491497,ISSUE,2004-04-28,2004-04-28,2004-04-28,N,2004-04-28,2004-08-15,,2004-04-28,AAI,,,41.85043002,-87.710233504,"(41.85043002049737, -87.71023350414907)"
1496214-20070216,1791357,278722,1,"SPINCYCLE PLUS, INC.",SPINCYCLE PLUS INC,4059 W NORTH AVE,CHICAGO,IL,60639,26,32,26-32,25,1010,Limited Business License,,,1496214,RENEW,,2006-12-20,2007-01-22,N,2007-02-16,2009-01-15,2007-01-22,2007-01-23,AAI,,,41.909741388,-87.728869453,"(41.909741388463615, -87.7288694528841)"
31308-20050816,1600446,14316,1,"ACCUTECH, INCORPORATED",CLARK GAS STATION 1,444 W 26TH ST 1ST,CHICAGO,IL,60616,11,33,11-33,9,1275,Filling Station,666,Operation of a Fuel Filling Station,31308,RENEW,,2005-06-21,2005-07-13,N,2005-08-16,2006-08-15,2005-07-13,2005-07-14,AAI,,,41.845545172,-87.63841937,"(41.84554517176753, -87.63841937017723)"
1543389-20111216,2122806,212361,2,EMELINA CARRERA,MIRANDA SALON,1448 W 18TH ST,CHICAGO,IL,60608,25,24,25-24,12,1010,Limited Business License,894,Hair Services,1543389,RENEW,,2011-10-14,2011-12-20,N,2011-12-16,2013-12-15,2011-12-20,2011-12-20,AAI,,,41.857952685,-87.663277276,"(41.85795268455572, -87.66327727578707)"
1358523-20060516,1692027,264564,1,CHRISTINE LOUIS CORP,CHRISTINE LOUIS CORP.,1001 W MADISON ST,CHICAGO,IL,60607,25,16,25-16,12,1012,Home Occupation,,,1358523,RENEW,,2006-03-27,2006-05-10,N,2006-05-16,2007-05-15,2006-05-10,2006-05-11,AAI,,,41.881589312,-87.652086227,"(41.881589312155384, -87.65208622703862)"
1331630-20030816,1378201,257964,1,KYUNG SIL LEE,GOSSEN SUSHI,4660 W IRVING PARK RD,CHICAGO,IL,60641,45,31,45-31,17,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1331630,RENEW,,2003-06-24,2003-07-23,N,2003-08-16,2004-08-15,2003-09-12,2003-09-12,AAI,,28,41.953554438,-87.745055311,"(41.95355443840363, -87.74505531119503)"
8098-20110716,2095652,62856,8,KANTILAL R PITHADIA,KANTI TOBACCO & GIFT INC,225 W WASHINGTON ST 1ST,CHICAGO,IL,60606,42,9,42-9,1,1010,Limited Business License,,,8098,RENEW,,2011-05-16,2011-07-11,N,2011-07-16,2013-07-15,2011-07-11,2011-07-12,AAC,2012-12-29,,41.883099158,-87.634600363,"(41.88309915782265, -87.63460036317278)"
1299372-20020927,1299372,253818,1,ANGELA M. LEE,ANGELA M. LEE,66 E 37TH ST,CHICAGO,IL,60653,3,41,3-41,2,1604,"Peddler, non-food",,,1299372,ISSUE,2002-09-26,2002-09-26,2002-09-26,N,2002-09-27,2003-02-15,2002-09-26,2002-09-27,AAI,,,41.827497358,-87.623891783,"(41.827497357934625, -87.62389178322388)"
52069-20031116,1428265,17586,1,BALTIMORE FOOD & DELI,BALTIMORE FOOD AND DELI,13251-13253 S BALTIMORE AVE,CHICAGO,IL,60633,10,15,10-15,4,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,52069,RENEW,,2003-09-26,2003-11-13,N,2003-11-16,2004-11-15,2003-11-13,2003-11-14,AAI,,,41.653999353,-87.547001981,"(41.65399935312566, -87.54700198057346)"
1621874-20131216,2290843,34940,3,KITCHEN & BATH OUTLET INC,"KITCHEN & BATH SALES, INC.",6154 W HIGGINS AVE,CHICAGO,IL,60630,45,21,45-21,16,1010,Limited Business License,,,1621874,RENEW,,2013-10-15,2013-11-18,N,2013-12-16,2015-12-15,2013-11-18,2013-11-19,AAI,,,41.974646654,-87.78242455,"(41.97464665404848, -87.78242455033376)"
21926-20040216,1455204,36362,1,SUNG SOO JUNG,J & S HEATING & COOLING,4154 N KEDZIE AVE,CHICAGO,IL,60618,33,15,33-15,17,1010,Limited Business License,,,21926,RENEW,,2003-12-15,2004-02-11,N,2004-02-16,2005-02-15,2003-12-22,2004-02-13,AAI,,60,41.957389522,-87.708269429,"(41.95738952221245, -87.70826942865236)"
2718111-20200228,2718111,466990,1,"Amount, Inc.","Amount, Inc.",222 N LA SALLE ST 17 AND 18 1700,CHICAGO,IL,60601,42,,42-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2718111,ISSUE,2020-02-27,2020-02-27,2020-02-27,N,2020-02-28,2022-03-15,2020-02-27,2020-02-28,AAI,,,41.886351604,-87.632613946,"(41.886351604488574, -87.63261394551859)"
